Dokument,Gruppe,Dominantes_Thema,Themenanteil,Thema_1,Thema_2,Thema_3,Thema_4,Thema_5,Thema_6,Thema_7,Thema_8
OCR 09. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),8,0.539469002827866,5.687008343918864e-05,5.696019750396909e-05,5.691652985208647e-05,5.687008344138972e-05,5.687008343424729e-05,0.46018953096710424,5.6979227358871047e-05,0.539469002827866
OCR 09. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.7158430087156239,6.890874056778693e-05,6.900046687429233e-05,6.896504794208126e-05,6.890874057179147e-05,6.890874056230103e-05,0.7158430087156239,0.01035657607565924,0.27345572347219865
OCR 10. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),8,0.5380292797443541,6.0038638401128026e-05,6.0146516909276175e-05,6.014437253876768e-05,6.003863840477579e-05,6.0038638397384486e-05,0.4493343187826185,0.012335994668376156,0.5380292797443541
OCR 10. Ausgabe 1930_001-1.txt,documents-export-2026-02-23 (1),6,0.6964522234055289,5.736597513456162e-05,5.746247983732731e-05,5.7423665080681536e-05,5.736597513686688e-05,5.7365975129728914e-05,0.6964522234055289,5.7478983297872475e-05,0.303203313540854
OCR 11. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),8,0.5610477978024994,6.200419826077643e-05,6.211562233985257e-05,6.206017687510015e-05,6.200419826336738e-05,6.20041982554929e-05,0.4258696659497833,0.012772347853722667,0.5610477978024994
OCR 11. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.7481993938922744,6.613780820241605e-05,6.62552256198593e-05,6.620580509671826e-05,6.613780820498215e-05,6.613780819749624e-05,0.7481993938922744,0.02512688825645694,0.22634284339594724
OCR 12. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.7484108462089627,7.552897070179241e-05,7.564093314674148e-05,7.562530598768958e-05,7.55289707052323e-05,7.552897069643073e-05,0.7484108462089627,7.565617301980609e-05,0.2511356444667796
OCR 13. Ausgabe 1930-4-1.txt,documents-export-2026-02-23 (1),8,0.4900551341547714,8.245412762898095e-05,8.261020389807042e-05,8.253297780949815e-05,8.245412763201178e-05,8.245412762279264e-05,0.44895024851353255,0.06058211176710469,0.4900551341547714
OCR 13. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.7470501694284482,6.599813184289259e-05,6.610269940298577e-05,6.60441219440064e-05,6.599813184762365e-05,6.599813183783717e-05,0.7470501694284482,0.00048561249768513324,0.25213407685699146
OCR 14. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.5340883532860239,6.354878799116526e-05,0.006291643955070745,6.364658867502478e-05,6.354878799429257e-05,6.354878798709437e-05,0.5340883532860239,0.05768914401128102,0.40167656579497674
OCR 14. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.7092948986140462,6.826897035699062e-05,6.838642676844558e-05,6.83558455454276e-05,6.82689703581911e-05,6.826897035026857e-05,0.7092948986140462,0.019365915153026055,0.2709976370495485
OCR 15. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.5532135847320734,6.446644789664142e-05,0.012246404330826813,6.453456771498265e-05,6.446644789962828e-05,6.446644789286589e-05,0.5532135847320734,0.03767432697116365,0.396607750054532
OCR 15. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.7382409063103698,6.393885379863751e-05,6.404263021431444e-05,6.403650918352294e-05,6.393885380136318e-05,6.39388537942925e-05,0.7382409063103698,6.405486637695642e-05,0.2613751431224611
OCR 16. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.5199747820872286,4.9900382237144314e-05,4.9984129073757516e-05,4.994359215806203e-05,4.990038223995766e-05,4.990038223416969e-05,0.5199747820872286,4.9994714694002516e-05,0.47972559433013423
OCR 16. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.6853355565448792,7.431656501608982e-05,7.446267771131729e-05,7.441863705108795e-05,7.43165650204153e-05,7.431656501037307e-05,0.6853355565448792,7.563396767006585e-05,0.31421697847764146
OCR 17. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),8,0.5027509328337498,5.781704972357531e-05,5.792627016128743e-05,5.786969847699123e-05,5.781704972528286e-05,5.7817049718516914e-05,0.46528783538500024,0.03167198466344425,0.5027509328337498
OCR 17. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.7767030032281137,5.2631761490830595e-05,5.272874075914026e-05,5.268843190516722e-05,5.263176149375266e-05,5.2631761486811586e-05,0.7767030032281137,5.272632739201479e-05,0.22298095798735848
OCR 18. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.5917679320268886,4.2031086996560134e-05,4.2105455298270044e-05,4.208464732187464e-05,4.203108699867123e-05,4.2031086993511195e-05,0.5917679320268886,0.01921340706898738,0.3888083775405152
